,,,,,
,,Opti,420.00,Adult,High School
Objective number of Students,,6.00,8.00,6.00,6.00
Number of Days Coaching,,12.00,12.00,8.00,20.00
Number of Hours per Day for this kind of event,,6.00,6.00,3.00,6.00
Total Hours of the Program,,72.00,72.00,24.00,120.00
Coaching Cost for this level of training per hour,,40.00,40.00,40.00,40.00
Total Coaching Cost ,,"2,880.00","2,880.00",960.00,"4,800.00"
,,,,,
,,,,,
,,,,,
,,,,,
Vessel Usage,,,,,
   Opti Useage Cost per day,,50.00,,,
   420 Useage Cost,,,100.00,,200.00
   Coach Boat Useage Cost,350.00,,350.00,350.00,350.00
   Deadrise Usage Cost,900.00,,,,
   Stiletto Usage Cost,500.00,,,,
   Stiletto X Usage Cost,"1,000.00",,,,
Facilty Cost per Day,219.18,219.18,219.18,219.18,219.18
Insurance Cost per day,25.00,25.00,25.00,25.00,25.00
Administrative Cost per day,10.00,10.00,10.00,10.00,10.00
Lifevest and Safety Gear Cost per day,5.00,5.00,5.00,5.00,5.00
,,,,,
Daily Cost Breakdown,,309.18,709.18,609.18,809.18
Multiplied by Program Days,,"3,710.14","8,510.14","4,873.42","16,183.56"
  Add in the Total Estimated Coaching Cost,,"2,880.00","2,880.00",960.00,"4,800.00"
,,"6,590.14","11,390.14","5,833.42","20,983.56"
,,,,,
,,,,,
,,Opti,420.00,Adult,High School
Divided by average number of participants,,"1,098.36","1,423.77",972.24,"3,497.26"
